Number,power (%),df (mm),frequency (kHz),speed (mm/s),predict_R (ohm),R(ohm),label
1,25.5,2.4,300,60,250,500,2
2,22.5,1.5,500,70,250,500,2
3,4,1,350,90,250,500,1
4,17,3,400,35,250,500,2
5,19.5,3.2,200,65,250,500,2
6,16.5,0.4,450,80,250,279.5,0
7,9.5,4.8,250,45,250,500,1
8,28,4.2,150,40,250,500,2
9,13.5,3.6,400,25,250,500,2
10,7,0.6,200,95,250,500,1
11,3,0,250,45,0,500,1
12,30,5,500,100,5.934828516,500,2
13,30,0,150,20,1.99E-07,500,2
14,7.5,0,450,20,0,500,2
15,3,5,500,100,0.007326374,500,1
16,5.5,0,150,40,0,500,1
17,3,0,500,100,228.4736441,500,1
18,30,0,150,50,0,500,2
19,3,0,150,30,1.23E-26,500,1
20,3,0,350,30,2.73E-14,500,1
